dataset,backbone_a,backbone_b,ari_mean,ari_std,n_images
WRD25,resnet50,efficientnet_b3,0.23837006640887018,0.1742450087319048,200
WRD25,resnet50,convnext_tiny,0.04683149840021359,0.07843775796558519,200
WRD25,resnet50,swin_tiny,0.06699461965547553,0.07780082879552991,200
WRD25,resnet50,dinov2_b,0.20337114852133945,0.16734504412765297,200
WRD25,resnet50,hrnet32,0.23363663715502717,0.17909283197058654,200
WRD25,resnet50,mobilenetv3,0.3115622634488186,0.207108539206995,200
WRD25,efficientnet_b3,convnext_tiny,0.019607439843750442,0.03704736608771396,200
WRD25,efficientnet_b3,swin_tiny,0.034141310579469404,0.04572688451141287,200
WRD25,efficientnet_b3,dinov2_b,0.11723021410818452,0.12510059749673436,200
WRD25,efficientnet_b3,hrnet32,0.24217948809228862,0.1626448177074197,200
WRD25,efficientnet_b3,mobilenetv3,0.3519435532817699,0.2009137654045525,200
WRD25,convnext_tiny,swin_tiny,0.12540132294176437,0.08862781882623554,200
WRD25,convnext_tiny,dinov2_b,0.047026626110102755,0.07209964545829808,200
WRD25,convnext_tiny,hrnet32,0.03556182865036206,0.0590521663910306,200
WRD25,convnext_tiny,mobilenetv3,0.04092233444108382,0.06593637201427399,200
WRD25,swin_tiny,dinov2_b,0.07396587329879001,0.08027458517613026,200
WRD25,swin_tiny,hrnet32,0.04662216445002958,0.05483146973586918,200
WRD25,swin_tiny,mobilenetv3,0.05168683843153557,0.06577747629374171,200
WRD25,dinov2_b,hrnet32,0.1410127636816207,0.12494293593820707,200
WRD25,dinov2_b,mobilenetv3,0.15452690763487392,0.1555303162123313,200
WRD25,hrnet32,mobilenetv3,0.27337750351582263,0.18834056892653064,200
