dataset,backbone,condition,image_idx,silhouette
PCA11,resnet50,clean,115,0.043085984885692596
PCA11,resnet50,clean,116,0.038953691720962524
PCA11,resnet50,clean,117,0.033351439982652664
PCA11,resnet50,clean,118,0.03492143377661705
PCA11,resnet50,clean,119,0.014682763256132603
PCA11,resnet50,clean,120,0.056815799325704575
PCA11,resnet50,clean,121,0.04316210746765137
PCA11,resnet50,clean,122,0.04437558352947235
PCA11,resnet50,clean,123,0.040853265672922134
PCA11,resnet50,clean,124,0.03928809240460396
PCA11,resnet50,clean,125,0.04906769096851349
PCA11,resnet50,clean,126,0.053269241005182266
PCA11,resnet50,clean,127,0.041659165173769
PCA11,resnet50,clean,128,0.1518440693616867
PCA11,resnet50,clean,129,0.08854805678129196
PCA11,resnet50,clean,130,0.004673468414694071
PCA11,resnet50,clean,131,0.028839923441410065
PCA11,resnet50,clean,132,0.03453823924064636
PCA11,resnet50,clean,133,0.037059661000967026
PCA11,resnet50,clean,134,0.13413354754447937
PCA11,resnet50,clean,135,0.04926752671599388
PCA11,resnet50,clean,136,0.08585348725318909
PCA11,resnet50,clean,137,0.023195212706923485
PCA11,resnet50,clean,138,0.02339181676506996
PCA11,resnet50,clean,139,0.059721820056438446
PCA11,resnet50,clean,140,0.015090485103428364
PCA11,resnet50,clean,141,0.00935370847582817
PCA11,resnet50,clean,142,0.032015979290008545
PCA11,resnet50,clean,143,0.06193237379193306
PCA11,resnet50,clean,144,0.02014688029885292
PCA11,resnet50,clean,145,0.024300942197442055
PCA11,resnet50,clean,146,0.0978894904255867
PCA11,resnet50,clean,147,0.08116566389799118
PCA11,resnet50,clean,148,0.04737448692321777
PCA11,resnet50,clean,149,0.02140156552195549
PCA11,resnet50,clean,150,0.019770435988903046
PCA11,resnet50,clean,151,-0.013134198263287544
PCA11,resnet50,clean,152,-0.002974532078951597
PCA11,resnet50,clean,153,0.014234953559935093
PCA11,resnet50,clean,154,0.01197761669754982
PCA11,resnet50,clean,155,0.09677953273057938
PCA11,resnet50,clean,156,0.022630589082837105
PCA11,resnet50,clean,157,0.10083676129579544
PCA11,resnet50,clean,158,0.020718004554510117
PCA11,resnet50,clean,159,0.09212831407785416
PCA11,resnet50,clean,160,0.036684755235910416
PCA11,resnet50,clean,161,-0.0129160787910223
PCA11,resnet50,clean,162,0.016721421852707863
PCA11,resnet50,clean,163,0.036149777472019196
PCA11,resnet50,clean,164,0.02621079795062542
PCA11,resnet50,clean,165,0.03204098343849182
PCA11,resnet50,clean,166,0.022974427789449692
PCA11,resnet50,clean,167,-0.010736217722296715
PCA11,resnet50,clean,168,0.04193972423672676
PCA11,resnet50,clean,169,0.028909653425216675
PCA11,resnet50,clean,170,0.032645609229803085
PCA11,resnet50,clean,171,0.013477189466357231
PCA11,resnet50,clean,172,0.02514084056019783
PCA11,resnet50,clean,173,0.04142535477876663
PCA11,resnet50,clean,174,0.02132820524275303
PCA11,resnet50,clean,175,0.04111485183238983
PCA11,resnet50,clean,176,0.011749939061701298
PCA11,resnet50,clean,177,0.003711460391059518
PCA11,resnet50,clean,178,0.020772578194737434
PCA11,resnet50,clean,179,0.0045071737840771675
PCA11,resnet50,clean,180,0.012903373688459396
PCA11,resnet50,clean,181,0.015615050680935383
PCA11,resnet50,clean,182,0.007938899099826813
PCA11,resnet50,clean,183,0.16357846558094025
PCA11,resnet50,clean,184,0.017548928037285805
PCA11,resnet50,clean,185,0.025896690785884857
PCA11,resnet50,clean,186,0.018577635288238525
PCA11,resnet50,clean,187,0.12241026759147644
PCA11,resnet50,clean,188,0.02197975479066372
PCA11,resnet50,clean,189,0.006344576831907034
PCA11,resnet50,clean,190,0.00946199893951416
PCA11,resnet50,clean,191,0.023272670805454254
PCA11,resnet50,clean,192,0.01436314731836319
PCA11,resnet50,clean,193,0.027691898867487907
PCA11,resnet50,clean,194,0.03793448582291603
PCA11,resnet50,clean,195,0.013251951895654202
PCA11,resnet50,clean,196,0.030196335166692734
PCA11,resnet50,clean,197,-0.00413760170340538
PCA11,resnet50,clean,198,0.018268881365656853
PCA11,resnet50,clean,199,0.03471888229250908
PCA11,efficientnet_b3,clean,0,-0.0003107328084297478
PCA11,efficientnet_b3,clean,1,-0.004315543919801712
PCA11,efficientnet_b3,clean,2,0.0029326986987143755
PCA11,efficientnet_b3,clean,3,-0.02019314281642437
PCA11,efficientnet_b3,clean,4,-0.0034487610682845116
PCA11,efficientnet_b3,clean,5,-0.0025051028933376074
PCA11,efficientnet_b3,clean,6,-0.03225165233016014
PCA11,efficientnet_b3,clean,7,-0.0015500078443437815
PCA11,efficientnet_b3,clean,8,0.0026122485287487507
PCA11,efficientnet_b3,clean,9,0.018399041146039963
PCA11,efficientnet_b3,clean,10,-0.007273519411683083
PCA11,efficientnet_b3,clean,11,-0.0009641314973123372
PCA11,efficientnet_b3,clean,12,0.02521052211523056
PCA11,efficientnet_b3,clean,13,-0.0007047067629173398
PCA11,efficientnet_b3,clean,14,0.023710433393716812
PCA11,efficientnet_b3,clean,15,-0.0016601174138486385
PCA11,efficientnet_b3,clean,16,0.007861577905714512
PCA11,efficientnet_b3,clean,17,-0.0016269392799586058
PCA11,efficientnet_b3,clean,18,-0.010036475956439972
PCA11,efficientnet_b3,clean,19,0.019961612299084663
PCA11,efficientnet_b3,clean,20,-0.002523701637983322
PCA11,efficientnet_b3,clean,21,-0.01946386694908142
PCA11,efficientnet_b3,clean,22,-0.0033111553639173508
PCA11,efficientnet_b3,clean,23,-0.015646513551473618
PCA11,efficientnet_b3,clean,24,-0.00969360675662756
PCA11,efficientnet_b3,clean,25,-0.011659913696348667
PCA11,efficientnet_b3,clean,26,-0.009646909311413765
PCA11,efficientnet_b3,clean,27,-0.01952674426138401
PCA11,efficientnet_b3,clean,28,-0.0036513281520456076
PCA11,efficientnet_b3,clean,29,-0.02323783189058304
PCA11,efficientnet_b3,clean,30,-0.03497505187988281
PCA11,efficientnet_b3,clean,31,-0.02979023940861225
PCA11,efficientnet_b3,clean,32,-0.002367679961025715
PCA11,efficientnet_b3,clean,33,0.0051885987631976604
PCA11,efficientnet_b3,clean,34,-0.014569025486707687
PCA11,efficientnet_b3,clean,35,-0.008372104726731777
PCA11,efficientnet_b3,clean,36,-0.015796968713402748
PCA11,efficientnet_b3,clean,37,-0.015989430248737335
PCA11,efficientnet_b3,clean,38,-0.01069512777030468
PCA11,efficientnet_b3,clean,39,-0.01015804335474968
PCA11,efficientnet_b3,clean,40,-0.007982239127159119
PCA11,efficientnet_b3,clean,41,-0.007967223413288593
PCA11,efficientnet_b3,clean,42,-0.010136610828340054
PCA11,efficientnet_b3,clean,43,-0.012003220617771149
PCA11,efficientnet_b3,clean,44,-0.016302065923810005
PCA11,efficientnet_b3,clean,45,-0.01220471877604723
PCA11,efficientnet_b3,clean,46,-0.026873867958784103
PCA11,efficientnet_b3,clean,47,-0.013911676593124866
PCA11,efficientnet_b3,clean,48,-0.01170137245208025
PCA11,efficientnet_b3,clean,49,-0.016817539930343628
PCA11,efficientnet_b3,clean,50,-0.001298523391596973
PCA11,efficientnet_b3,clean,51,0.0035662923473864794
PCA11,efficientnet_b3,clean,52,0.008321143686771393
PCA11,efficientnet_b3,clean,53,-0.0018815314397215843
PCA11,efficientnet_b3,clean,54,-0.0060401177033782005
PCA11,efficientnet_b3,clean,55,-0.006542576476931572
PCA11,efficientnet_b3,clean,56,0.11257245391607285
PCA11,efficientnet_b3,clean,57,0.0002088685578200966
PCA11,efficientnet_b3,clean,58,0.0006787047605030239
PCA11,efficientnet_b3,clean,59,0.00021520692098420113
PCA11,efficientnet_b3,clean,60,0.01158859021961689
PCA11,efficientnet_b3,clean,61,0.005716049578040838
PCA11,efficientnet_b3,clean,62,-0.0027069158386439085
PCA11,efficientnet_b3,clean,63,-0.0006594249862246215
PCA11,efficientnet_b3,clean,64,-0.008423271588981152
PCA11,efficientnet_b3,clean,65,-0.004200328607112169
PCA11,efficientnet_b3,clean,66,-0.0011002219980582595
PCA11,efficientnet_b3,clean,67,0.0037780271377414465
PCA11,efficientnet_b3,clean,68,-0.00309021957218647
PCA11,efficientnet_b3,clean,69,-0.00036696085589937866
PCA11,efficientnet_b3,clean,70,0.0014670361997559667
PCA11,efficientnet_b3,clean,71,-0.00475307647138834
PCA11,efficientnet_b3,clean,72,0.0010206912411376834
PCA11,efficientnet_b3,clean,73,0.0006184626836329699
PCA11,efficientnet_b3,clean,74,-0.00469601433724165
PCA11,efficientnet_b3,clean,75,-0.003962364513427019
PCA11,efficientnet_b3,clean,76,-0.015320215374231339
PCA11,efficientnet_b3,clean,77,-0.0020699347369372845
