dataset,backbone,condition,image_idx,silhouette
DTSR14,resnet50,clean,111,0.013703066855669022
DTSR14,resnet50,clean,112,0.040548767894506454
DTSR14,resnet50,clean,113,0.031487081199884415
DTSR14,resnet50,clean,114,0.019169513136148453
DTSR14,resnet50,clean,115,0.030888229608535767
DTSR14,resnet50,clean,116,0.02430976927280426
DTSR14,resnet50,clean,117,0.04224986955523491
DTSR14,resnet50,clean,118,0.12536634504795074
DTSR14,resnet50,clean,119,0.068067267537117
DTSR14,resnet50,clean,120,0.0485149584710598
DTSR14,resnet50,clean,121,0.04893340542912483
DTSR14,resnet50,clean,122,0.10490310192108154
DTSR14,resnet50,clean,123,0.07073049992322922
DTSR14,resnet50,clean,124,0.028896085917949677
DTSR14,resnet50,clean,125,0.028177116066217422
DTSR14,resnet50,clean,126,0.02554699406027794
DTSR14,resnet50,clean,127,0.04989642649888992
DTSR14,resnet50,clean,128,0.04098166897892952
DTSR14,resnet50,clean,129,0.012875346466898918
DTSR14,resnet50,clean,130,0.13827592134475708
DTSR14,resnet50,clean,131,0.005400859750807285
DTSR14,resnet50,clean,132,0.014781370759010315
DTSR14,resnet50,clean,133,0.01292219664901495
DTSR14,resnet50,clean,134,0.02712426334619522
DTSR14,resnet50,clean,135,0.01468625571578741
DTSR14,resnet50,clean,136,0.04821336641907692
DTSR14,resnet50,clean,137,0.049749407917261124
DTSR14,resnet50,clean,138,0.006508199032396078
DTSR14,resnet50,clean,139,0.041937876492738724
DTSR14,resnet50,clean,140,0.0067626554518938065
DTSR14,resnet50,clean,141,0.07237845659255981
DTSR14,resnet50,clean,142,0.024013644084334373
DTSR14,resnet50,clean,143,0.0938575491309166
DTSR14,resnet50,clean,144,0.10880343616008759
DTSR14,resnet50,clean,145,0.12108390033245087
DTSR14,resnet50,clean,146,0.11327794194221497
DTSR14,resnet50,clean,147,0.09802465885877609
DTSR14,resnet50,clean,148,0.02163698524236679
DTSR14,resnet50,clean,149,0.060718096792697906
DTSR14,resnet50,clean,150,0.08067955076694489
DTSR14,resnet50,clean,151,0.05629396438598633
DTSR14,resnet50,clean,152,0.03034224361181259
DTSR14,resnet50,clean,153,0.0625004693865776
DTSR14,resnet50,clean,154,0.03679776191711426
DTSR14,resnet50,clean,155,0.0341184139251709
DTSR14,resnet50,clean,156,0.037829216569662094
DTSR14,resnet50,clean,157,0.07381413131952286
DTSR14,resnet50,clean,158,0.08817866444587708
DTSR14,resnet50,clean,159,0.04762354493141174
DTSR14,resnet50,clean,160,0.09840192645788193
DTSR14,resnet50,clean,161,0.06448666751384735
DTSR14,resnet50,clean,162,0.12150636315345764
DTSR14,resnet50,clean,163,0.07947706431150436
DTSR14,resnet50,clean,164,0.040596406906843185
DTSR14,resnet50,clean,165,0.030159814283251762
DTSR14,resnet50,clean,166,0.025468485429883003
DTSR14,resnet50,clean,167,0.0338786244392395
DTSR14,resnet50,clean,168,0.07308632135391235
DTSR14,resnet50,clean,169,0.05934929847717285
DTSR14,resnet50,clean,170,0.029058262705802917
DTSR14,resnet50,clean,171,0.023924626410007477
DTSR14,resnet50,clean,172,-0.001414609607309103
DTSR14,resnet50,clean,173,0.06129631772637367
DTSR14,resnet50,clean,174,0.036202870309352875
DTSR14,resnet50,clean,175,0.06749080121517181
DTSR14,resnet50,clean,176,0.06803685426712036
DTSR14,resnet50,clean,177,0.0488351508975029
DTSR14,resnet50,clean,178,0.02666584402322769
DTSR14,resnet50,clean,179,0.04666059836745262
DTSR14,resnet50,clean,180,0.05166057124733925
DTSR14,resnet50,clean,181,0.009241635911166668
DTSR14,resnet50,clean,182,0.022099407389760017
DTSR14,resnet50,clean,183,0.023124240338802338
DTSR14,resnet50,clean,184,0.04213148355484009
DTSR14,resnet50,clean,185,0.04704413190484047
DTSR14,resnet50,clean,186,0.0140397222712636
DTSR14,resnet50,clean,187,0.03148765116930008
DTSR14,resnet50,clean,188,0.035541266202926636
DTSR14,resnet50,clean,189,0.012594123370945454
DTSR14,resnet50,clean,190,0.0004436209565028548
DTSR14,resnet50,clean,191,0.057399701327085495
DTSR14,resnet50,clean,192,0.05782772973179817
DTSR14,resnet50,clean,193,0.0036787313874810934
DTSR14,resnet50,clean,194,0.05117166414856911
DTSR14,resnet50,clean,195,0.021649114787578583
DTSR14,resnet50,clean,196,0.06617056578397751
DTSR14,resnet50,clean,197,0.11572679132223129
DTSR14,resnet50,clean,198,0.029896190389990807
DTSR14,resnet50,clean,199,0.11165640503168106
DTSR14,efficientnet_b3,clean,0,-0.0009982195915654302
DTSR14,efficientnet_b3,clean,1,0.002906554378569126
DTSR14,efficientnet_b3,clean,2,-0.003711704397574067
DTSR14,efficientnet_b3,clean,3,-0.008946544490754604
DTSR14,efficientnet_b3,clean,4,-0.005738420411944389
DTSR14,efficientnet_b3,clean,5,-0.004240802954882383
DTSR14,efficientnet_b3,clean,6,-0.004456973168998957
DTSR14,efficientnet_b3,clean,7,-0.01044321246445179
DTSR14,efficientnet_b3,clean,8,-0.007208686321973801
DTSR14,efficientnet_b3,clean,9,-0.0032385841477662325
DTSR14,efficientnet_b3,clean,10,-0.0037869387306272984
DTSR14,efficientnet_b3,clean,11,-0.004963037557899952
DTSR14,efficientnet_b3,clean,12,0.003011052031069994
DTSR14,efficientnet_b3,clean,13,-0.00465977331623435
DTSR14,efficientnet_b3,clean,14,0.01659676432609558
DTSR14,efficientnet_b3,clean,15,0.011093181557953358
DTSR14,efficientnet_b3,clean,16,0.005643320735543966
DTSR14,efficientnet_b3,clean,17,0.006771724671125412
DTSR14,efficientnet_b3,clean,18,0.005792516749352217
DTSR14,efficientnet_b3,clean,19,0.0070022097788751125
DTSR14,efficientnet_b3,clean,20,0.003957408480346203
DTSR14,efficientnet_b3,clean,21,0.01584463007748127
DTSR14,efficientnet_b3,clean,22,0.0034714508801698685
DTSR14,efficientnet_b3,clean,23,-0.0025152764283120632
DTSR14,efficientnet_b3,clean,24,0.014420588500797749
DTSR14,efficientnet_b3,clean,25,0.0037410801742225885
DTSR14,efficientnet_b3,clean,26,0.0002560805296525359
DTSR14,efficientnet_b3,clean,27,0.0035937440115958452
DTSR14,efficientnet_b3,clean,28,0.0011707311496138573
DTSR14,efficientnet_b3,clean,29,0.005829726345837116
DTSR14,efficientnet_b3,clean,30,0.001460154540836811
DTSR14,efficientnet_b3,clean,31,0.010562860406935215
DTSR14,efficientnet_b3,clean,32,-0.0044824001379311085
DTSR14,efficientnet_b3,clean,33,-0.00034038597368635237
DTSR14,efficientnet_b3,clean,34,-0.0019562041852623224
DTSR14,efficientnet_b3,clean,35,0.010614237748086452
DTSR14,efficientnet_b3,clean,36,0.004058860708028078
DTSR14,efficientnet_b3,clean,37,0.0013807375216856599
DTSR14,efficientnet_b3,clean,38,0.0009473931859247386
DTSR14,efficientnet_b3,clean,39,0.011159084737300873
DTSR14,efficientnet_b3,clean,40,0.013573759235441685
DTSR14,efficientnet_b3,clean,41,0.0039028008468449116
DTSR14,efficientnet_b3,clean,42,0.009653584100306034
DTSR14,efficientnet_b3,clean,43,-0.00012461704318411648
DTSR14,efficientnet_b3,clean,44,0.022178925573825836
DTSR14,efficientnet_b3,clean,45,-0.0009291778551414609
DTSR14,efficientnet_b3,clean,46,0.027746208012104034
DTSR14,efficientnet_b3,clean,47,-0.007426115218549967
DTSR14,efficientnet_b3,clean,48,0.00998646579682827
DTSR14,efficientnet_b3,clean,49,0.0017038051737472415
DTSR14,efficientnet_b3,clean,50,-0.006305894814431667
DTSR14,efficientnet_b3,clean,51,-0.015221767127513885
DTSR14,efficientnet_b3,clean,52,0.0025949524715542793
DTSR14,efficientnet_b3,clean,53,-0.0071937693282961845
DTSR14,efficientnet_b3,clean,54,-0.0033141218591481447
DTSR14,efficientnet_b3,clean,55,0.012467870488762856
DTSR14,efficientnet_b3,clean,56,0.010769999586045742
DTSR14,efficientnet_b3,clean,57,0.01956941746175289
DTSR14,efficientnet_b3,clean,58,-0.0013103081146255136
DTSR14,efficientnet_b3,clean,59,0.005794068332761526
DTSR14,efficientnet_b3,clean,60,-0.009153297170996666
DTSR14,efficientnet_b3,clean,61,-0.014477052725851536
DTSR14,efficientnet_b3,clean,62,-0.007659937720745802
DTSR14,efficientnet_b3,clean,63,0.0040756333619356155
DTSR14,efficientnet_b3,clean,64,-0.005398652050644159
DTSR14,efficientnet_b3,clean,65,-0.009078573435544968
