dataset,backbone,perturbation,severity,image_idx,csi,csi_bo,csi_hungarian,csi_permutation_gap,csi_c0,csi_c1,csi_c2
DTSR14,resnet50,gaussian_blur,4,0,0.5701518909206642,0.5701518909206642,0.5701518909206642,0.0,0.7486187845303868,0.47504936577529366,0.48678752245631224
DTSR14,resnet50,gaussian_blur,4,1,0.311835492941463,0.311835492941463,0.311835492941463,0.0,0.4512183908045977,0.30240103828682674,0.18188704973296466
DTSR14,resnet50,gaussian_blur,4,2,0.1969442079239232,0.1969442079239232,0.3692376282345669,0.1722934203106437,0.13955484520215475,0.01637033824804857,0.43490744032156625
DTSR14,resnet50,gaussian_blur,4,3,0.833192112923021,0.833192112923021,0.833192112923021,0.0,0.8524338172502135,0.8639093484419264,0.7832331730769231
DTSR14,resnet50,gaussian_blur,4,4,0.47616712138601486,0.47616712138601486,0.47616712138601486,0.0,0.7767908814130791,0.1964759378552482,0.4552345448897173
DTSR14,resnet50,gaussian_blur,4,5,0.2445915155814018,0.2445915155814018,0.39184425988632077,0.14725274430491897,0.02548447040084948,0.413521585663861,0.2947684906794949
DTSR14,resnet50,gaussian_blur,4,6,0.6175340949757391,0.6175340949757391,0.6175340949757391,0.0,0.6056255493700556,0.6592041498873797,0.587772585669782
DTSR14,resnet50,gaussian_blur,4,7,0.17326003407918655,0.17326003407918655,0.2834247843291267,0.11016475024994016,0.17053903345724908,0.07876414273281114,0.2704769260474995
DTSR14,resnet50,gaussian_blur,4,8,0.4659970331957634,0.4659970331957634,0.4659970331957634,0.0,0.6825396825396826,0.5133635780857044,0.2020878389619032
DTSR14,resnet50,gaussian_blur,4,9,0.0802858438422253,0.0802858438422253,0.5064938464125688,0.42620800257034347,0.01465580150814887,0.017339544513457556,0.20886218550506946
DTSR14,resnet50,gaussian_blur,4,10,0.2750427761885213,0.2750427761885213,0.512727351847119,0.23768457565859774,0.12092585047871257,0.21903850099158859,0.4851639770952629
DTSR14,resnet50,gaussian_blur,4,11,0.15348414536635815,0.15348414536635815,0.24055391300776396,0.08706976764140581,0.4324263345516899,0.0002328830926874709,0.027793218454697052
DTSR14,resnet50,gaussian_blur,4,12,0.368255322296996,0.368255322296996,0.368255322296996,0.0,0.5472109101240648,0.41374654407509803,0.14380851269182512
DTSR14,resnet50,gaussian_blur,4,13,0.2764604820870962,0.2764604820870962,0.2764604820870962,0.0,0.18625059401235547,0.20218228498074453,0.44094856726818865
DTSR14,resnet50,gaussian_blur,4,14,0.3265562026282749,0.3265562026282749,0.3265562026282749,0.0,0.2688714970966928,0.33047584249135725,0.38032126829677476
DTSR14,resnet50,gaussian_blur,4,15,0.5562331552689803,0.5562331552689803,0.5562331552689803,0.0,0.29269377382465056,0.6204719175805915,0.7555337744016989
DTSR14,resnet50,gaussian_blur,4,16,0.508817973004181,0.508817973004181,0.508817973004181,0.0,0.2008237716975581,0.6003494321727193,0.7252807151422653
DTSR14,resnet50,gaussian_blur,4,17,0.4757786477683676,0.4757786477683676,0.5258902663449784,0.050111618576610784,0.370745607091974,0.1777911334228947,0.8787992027902342
DTSR14,resnet50,gaussian_blur,4,18,0.690114896189741,0.690114896189741,0.690114896189741,0.0,0.7277872608031624,0.5861083831800732,0.7564490445859873
DTSR14,resnet50,gaussian_blur,4,19,0.7014948148895694,0.7014948148895694,0.7014948148895694,0.0,0.5427841634738186,0.747955812168341,0.8137444690265486
DTSR14,resnet50,gaussian_blur,4,20,0.3874979582893501,0.3874979582893501,0.3893434034975112,0.0018454452081611006,0.6676073296459345,0.0,0.49488654522211567
DTSR14,resnet50,gaussian_blur,4,21,0.6602552347952356,0.6602552347952356,0.6602552347952356,0.0,0.6950307184352406,0.6087117407622773,0.6770232451881889
DTSR14,resnet50,gaussian_blur,4,22,0.5692649391269012,0.5692649391269012,0.5692649391269012,0.0,0.7490377213240954,0.3878396288933068,0.5709174671633013
DTSR14,resnet50,gaussian_blur,4,23,0.7907572296908104,0.7907572296908104,0.7907572296908104,0.0,0.7811091073038774,0.8446333333333333,0.7465292484352205
DTSR14,resnet50,gaussian_blur,4,24,0.6598142096013145,0.6598142096013145,0.6598142096013145,0.0,0.47142478579630775,0.7174627791563275,0.7905550638513086
DTSR14,resnet50,gaussian_blur,4,25,0.402122421579407,0.402122421579407,0.402122421579407,0.0,0.27750974819906155,0.3868478938901474,0.5420096226490119
DTSR14,resnet50,gaussian_blur,4,26,0.45322182552639995,0.45322182552639995,0.45322182552639995,0.0,0.6172885417957935,0.263195182430039,0.47918175235336713
DTSR14,resnet50,gaussian_blur,4,27,0.8082394465404965,0.8082394465404965,0.8082394465404965,0.0,0.8259894800379408,0.8236057068741893,0.7751231527093596
DTSR14,resnet50,gaussian_blur,4,28,0.6460537526219676,0.6460537526219676,0.6460537526219676,0.0,0.657132479796604,0.6277260111022998,0.653302766966999
DTSR14,resnet50,gaussian_blur,4,29,0.6106027264484003,0.6106027264484003,0.6106027264484003,0.0,0.5599765659327247,0.6398591135896683,0.6319724998228081
DTSR14,resnet50,gaussian_blur,4,30,0.3801002867937502,0.3801002867937502,0.3801002867937502,0.0,0.5835053093692545,0.07627412458107015,0.480521426430926
DTSR14,resnet50,gaussian_blur,4,31,0.3541903551742375,0.3541903551742375,0.3541903551742375,0.0,0.3779378658262044,0.6120220847689817,0.07261111492752628
DTSR14,resnet50,gaussian_blur,4,32,0.5410056438229098,0.5410056438229098,0.5410056438229098,0.0,0.3651898734177215,0.6238699608351247,0.6339570972158831
DTSR14,resnet50,gaussian_blur,4,33,0.5335269007639497,0.5335269007639497,0.5335269007639497,0.0,0.3491829824819667,0.5746990688167158,0.6766986509931664
DTSR14,resnet50,gaussian_blur,4,34,0.3804332185372698,0.3804332185372698,0.3804332185372698,0.0,0.3745286298841967,0.28982049534196774,0.4769505303856449
DTSR14,resnet50,gaussian_blur,4,35,0.15827016422952975,0.15827016422952975,0.5592685051870284,0.40099834095749864,0.45518838661648536,0.016688231100314223,0.002933874971789664
DTSR14,resnet50,gaussian_blur,4,36,0.5292420633684009,0.5292420633684009,0.5292420633684009,0.0,0.28236680193742636,0.6737315647899081,0.6316278233778683
DTSR14,resnet50,gaussian_blur,4,37,0.5044908147572748,0.5044908147572748,0.5044908147572748,0.0,0.5037891268533773,0.38932686476652517,0.6203564526519219
DTSR14,resnet50,gaussian_blur,4,38,0.6139646771545385,0.6139646771545385,0.6139646771545385,0.0,0.5543612214158565,0.7318711717051966,0.5556616383425625
DTSR14,resnet50,gaussian_blur,4,39,0.8273450759393269,0.8273450759393269,0.8273450759393269,0.0,0.8900871304099415,0.8834245861035067,0.7085235113045324
DTSR14,resnet50,gaussian_blur,4,40,0.5443157219638542,0.5443157219638542,0.5443157219638542,0.0,0.5525924088315555,0.3970646832248639,0.6832900738351435
DTSR14,resnet50,gaussian_blur,4,41,0.6391971621487221,0.6391971621487221,0.6391971621487221,0.0,0.5526367149381318,0.6512944135834818,0.7136603579245526
DTSR14,resnet50,gaussian_blur,4,42,0.15452896912841135,0.15452896912841135,0.43643851840570075,0.2819095492772894,0.3396542692509167,0.0915997499639371,0.03233288817038026
DTSR14,resnet50,gaussian_blur,4,43,0.401666805707177,0.401666805707177,0.49352133917530683,0.09185453346812983,0.8361615325489269,0.07306685421795021,0.2957720303546539
DTSR14,resnet50,gaussian_blur,4,44,0.9019482195645399,0.9019482195645399,0.9019482195645399,0.0,0.9440628066732091,0.9228821677843164,0.8388996842360943
DTSR14,resnet50,gaussian_blur,4,45,0.7123768302578992,0.7123768302578992,0.7123768302578992,0.0,0.7140428870292888,0.7883504718974503,0.6347371318469585
DTSR14,resnet50,gaussian_blur,4,46,0.49093915128991195,0.49093915128991195,0.49093915128991195,0.0,0.6717617087987459,0.36768508437670117,0.4333706606942889
DTSR14,resnet50,gaussian_blur,4,47,0.40218248450027744,0.40218248450027744,0.5645859530950101,0.1624034685947327,0.7917133258678611,0.27037604219840056,0.14445808543457048
DTSR14,resnet50,gaussian_blur,4,48,0.35516150296966975,0.35516150296966975,0.39043624027814117,0.035274737308471416,0.5015520176229098,0.28211900875500817,0.2818134825310913
DTSR14,resnet50,gaussian_blur,4,49,0.22493675077406772,0.22493675077406772,0.5443537447949649,0.3194169940208972,0.6527833831086717,0.00044256688795011066,0.021584302325581395
DTSR14,resnet50,gaussian_blur,4,50,0.29947560061263495,0.29947560061263495,0.3869497112314531,0.08747411061881816,0.6151647405950332,0.00030765444253015014,0.2829544068003416
DTSR14,resnet50,gaussian_blur,4,51,0.03169563755740621,0.03169563755740621,0.354529853551913,0.3228342159945068,0.0,0.05272419186652763,0.04236272080569099
DTSR14,resnet50,gaussian_blur,4,52,0.40883536432737483,0.40883536432737483,0.4335816341118806,0.02474626978450578,0.6964423996720266,0.19644891758450436,0.33361477572559367
DTSR14,resnet50,gaussian_blur,4,53,0.2598523126990286,0.2598523126990286,0.7447074960771612,0.48485518337813266,0.004801222129269269,0.02157571945274414,0.7531799965150723
DTSR14,resnet50,gaussian_blur,4,54,0.48944741829204114,0.48944741829204114,0.48944741829204114,0.0,0.6627721720658524,0.5624361936489173,0.24313388916135362
DTSR14,resnet50,gaussian_blur,4,55,0.1933788313210688,0.1933788313210688,0.2697162931528949,0.0763374618318261,0.17808958445763626,0.2094707673735905,0.19257614213197968
DTSR14,resnet50,gaussian_blur,4,56,0.6359887521072811,0.6359887521072811,0.6359887521072811,0.0,0.5773614647750698,0.7317158579289644,0.5988889336178093
